NO;DATE;GULAPASIRLOKAL
1;01/01/2018;11600
2;02/01/2018;12650
3;03/01/2018;12650
4;04/01/2018;12650
5;05/01/2018;12650
6;08/01/2018;12650
7;09/01/2018;12650
8;10/01/2018;12650
9;11/01/2018;12650
10;12/01/2018;12650
11;15/01/2018;12650
12;16/01/2018;12600
13;17/01/2018;12600
14;18/01/2018;12600
15;19/01/2018;12550
16;22/01/2018;12600
17;23/01/2018;12600
18;24/01/2018;12550
19;25/01/2018;12550
20;26/01/2018;12550
21;29/01/2018;12550
22;30/01/2018;12550
23;31/01/2018;12550
24;01/02/2018;12550
25;02/02/2018;12550
26;05/02/2018;12550
27;06/02/2018;12550
28;07/02/2018;12550
29;08/02/2018;12550
30;09/02/2018;12600
31;12/02/2018;12600
32;13/02/2018;12600
33;14/02/2018;12600
34;15/02/2018;12600
35;16/02/2018;12050
36;19/02/2018;12600
37;20/02/2018;12600
38;21/02/2018;12600
39;22/02/2018;12550
40;23/02/2018;12550
41;26/02/2018;12550
42;27/02/2018;12550
43;28/02/2018;12550
44;01/03/2018;12550
45;02/03/2018;12550
46;05/03/2018;12550
47;06/03/2018;12550
48;07/03/2018;12550
49;08/03/2018;12550
50;09/03/2018;12550
51;12/03/2018;12550
52;13/03/2018;12550
53;14/03/2018;12550
54;15/03/2018;12550
55;16/03/2018;12500
56;19/03/2018;12550
57;20/03/2018;12550
58;21/03/2018;12550
59;22/03/2018;12550
60;23/03/2018;12550
61;26/03/2018;12550
62;27/03/2018;12550
63;28/03/2018;12550
64;29/03/2018;12550
65;30/03/2018;11900
66;02/04/2018;12550
67;03/04/2018;12550
68;04/04/2018;12550
69;05/04/2018;12550
70;06/04/2018;12550
71;09/04/2018;12550
72;10/04/2018;12550
73;11/04/2018;12550
74;12/04/2018;12550
75;13/04/2018;12600
76;16/04/2018;12600
77;17/04/2018;12600
78;18/04/2018;12600
79;19/04/2018;12600
80;20/04/2018;12600
81;23/04/2018;12600
82;24/04/2018;12600
83;25/04/2018;12550
84;26/04/2018;12550
85;27/04/2018;12550
86;30/04/2018;12600
87;01/05/2018;13550
88;02/05/2018;12600
89;03/05/2018;12550
90;04/05/2018;12550
91;07/05/2018;12550
92;08/05/2018;12550
93;09/05/2018;12550
94;10/05/2018;13550
95;11/05/2018;12550
96;14/05/2018;12550
97;15/05/2018;12550
98;16/05/2018;12550
99;17/05/2018;12550
100;18/05/2018;12550
101;21/05/2018;12550
102;22/05/2018;12550
103;23/05/2018;12550
104;24/05/2018;12600
105;25/05/2018;12600
106;28/05/2018;12550
107;29/05/2018;13500
108;30/05/2018;12600
109;31/05/2018;12550
110;01/06/2018;-
111;04/06/2018;12550
112;05/06/2018;12550
113;06/06/2018;12550
114;07/06/2018;12550
115;08/06/2018;12550
116;11/06/2018;12550
117;12/06/2018;12550
118;13/06/2018;12550
119;14/06/2018;-
120;15/06/2018;-
121;18/06/2018;12550
122;19/06/2018;12550
123;20/06/2018;12550
124;21/06/2018;12550
125;22/06/2018;12550
126;25/06/2018;12550
